transaction_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
TX_LIVE_181440,18,TRANSFER,1203555.62,C627494563,4814222.48,3610666.86,C1474823472,0.0,1203555.62,0,0
TX_LIVE_2195876,353,CASH_OUT,115194.67,C1161855224,115194.67,0.0,C1555120242,0.0,115194.67,0,0
TX_LIVE_1931070,322,CASH_OUT,28888.03,C1121646574,115552.12,86664.09,C1102949900,0.0,28888.03,0,0
TX_LIVE_241303,21,CASH_OUT,77066.7,C1503335579,308266.8,231200.1,C1346450900,0.0,77066.7,0,0
TX_LIVE_2428298,385,TRANSFER,868004.25,C1630644567,868004.25,0.0,C183532439,0.0,868004.25,0,1
TX_LIVE_2402993,380,CASH_OUT,392066.19,C1074004557,1568264.76,1176198.57,C1856002198,0.0,392066.19,0,0
TX_LIVE_2688353,551,CASH_OUT,759257.25,C1255221578,759257.25,0.0,C1470118163,0.0,759257.25,0,1
TX_LIVE_466496,129,CASH_OUT,36511.75,C1148481713,146047.0,109535.25,C1588901702,0.0,36511.75,0,0
TX_LIVE_1194849,211,CASH_OUT,219069.25,C1081690824,219069.25,0.0,C894814652,0.0,219069.25,0,0
TX_LIVE_1897192,308,CASH_OUT,57867.48,C1546705255,231469.92,173602.44,C1271055248,0.0,57867.48,0,0
TX_LIVE_1962230,324,CASH_OUT,159408.83,C1371087417,159408.83,0.0,C1738549991,0.0,159408.83,0,0
TX_LIVE_108173,14,CASH_OUT,78151.44,C389805218,78151.44,0.0,C1675463324,0.0,78151.44,0,0
TX_LIVE_660712,143,CASH_OUT,158323.44,C1969513672,158323.44,0.0,C1968562433,0.0,158323.44,0,0
TX_LIVE_2623463,430,TRANSFER,326394.66,C541833778,326394.66,0.0,C36684141,0.0,326394.66,0,1
TX_LIVE_454579,90,TRANSFER,7696839.0,C1641731466,7696839.0,0.0,C290559240,0.0,7696839.0,0,1
